Unnamed: 0,annotation_id,audio_path,file_id,start,end,label
439,28,recording_2024-10-26_20-52.wav,27,6630,6730,background
139,27,recording_2024-10-26_20-39.wav,26,51720,51820,background
347,41,recording_2024-11-03_19-45.wav,40,37410,37510,background
349,40,recording_2024-11-02_17-09.wav,39,21240,21340,background
644,653,recording_2024-11-24_17-50.wav,653,49830,49930,background
555,65,recording_2024-11-14_15-56-45.wav,65,6237,6337,flatdoor_bell
79,31,recording_2024-10-27_12-22.wav,30,1654,1754,gardendoor_bell
539,35,recording_2024-10-30_19-34.wav,34,330,430,background
575,32,recording_2024-10-27_15-04.wav,31,2820,2920,housedoor_bell
668,62,recording_2024-11-14_15-56-14.wav,62,2345,2445,housedoor_bell
210,654,recording_2024-12-04_15-05.wav,654,3092,3192,housedoor_bell
589,405,recording_2024-11-15_10-43-19.wav,204,3960,4060,background
370,61,recording_2024-11-14_15-56-04.wav,61,4275,4375,housedoor_bell
456,14,2024-10-24-15-53.wav,13,40749,40849,housedoor_bell
265,60,recording_2024-11-14_15-55-50.wav,60,2180,2280,flatdoor_bell
530,42,recording_2024-11-06_17-40.wav,41,11582,11682,housedoor_bell
32,29,recording_2024-10-26_21-49.wav,28,20550,20650,background
339,44,recording_2024-11-08_11-29.wav,43,3948,4048,housedoor_bell
454,14,2024-10-24-15-53.wav,13,22733,22833,flatdoor_bell
420,129,recording_2024-11-15_09-27-14.wav,128,2760,2860,background
530,42,recording_2024-11-06_17-40.wav,41,14852,14952,housedoor_bell
322,103,recording_2024-11-16_11-43.wav,651,5948,6048,housedoor_bell
555,65,recording_2024-11-14_15-56-45.wav,65,7377,7477,flatdoor_bell
668,62,recording_2024-11-14_15-56-14.wav,62,4385,4485,housedoor_bell
210,654,recording_2024-12-04_15-05.wav,654,3362,3462,housedoor_bell
79,31,recording_2024-10-27_12-22.wav,30,4414,4514,gardendoor_bell
322,103,recording_2024-11-16_11-43.wav,651,6128,6228,housedoor_bell
348,3,background_2.wav,2,31654,31754,background
434,75,recording_2024-11-14_15-58-48.wav,75,7890,7990,background
451,393,recording_2024-11-15_14-26-59.wav,592,4170,4270,background
253,82,recording_2024-11-14_15-59-40.wav,82,7440,7540,background
169,20,recording_2024-10-26_15-00.wav,19,11689,11789,gardendoor_bell
316,38,recording_2024-11-02_14-00.wav,37,1200,1300,background
530,42,recording_2024-11-06_17-40.wav,41,12362,12462,housedoor_bell
109,12,record-24-10-02-19-31.wav,11,60690,60790,background
366,533,recording_2024-11-15_14-31-56.wav,632,480,580,background
418,4,background_3.wav,3,96630,96730,background
233,187,recording_2024-11-15_10-20-49.wav,186,4350,4450,background
418,4,background_3.wav,3,229500,229600,background
263,379,recording_2024-11-15_14-25-16.wav,578,1530,1630,background
575,32,recording_2024-10-27_15-04.wav,31,2490,2590,housedoor_bell
210,654,recording_2024-12-04_15-05.wav,654,2582,2682,housedoor_bell
370,61,recording_2024-11-14_15-56-04.wav,61,4185,4285,housedoor_bell
418,4,background_3.wav,3,147540,147640,background
125,609,recording_2024-11-15_14-10-35.wav,460,990,1090,background
503,13,record-24-10-02-19-34.wav,12,43641,43741,background
183,225,recording_2024-11-15_12-21-06.wav,324,4440,4540,background
211,654,recording_2024-12-04_15-05.wav,654,34497,34597,background
454,14,2024-10-24-15-53.wav,13,22673,22773,flatdoor_bell
56,18,recording_2024-10-25_16-04.wav,17,207143,207243,housedoor_bell
361,21,recording_2024-10-26_19-36.wav,20,58350,58450,background
334,39,recording_2024-11-02_15-50.wav,38,33681,33781,housedoor_bell
528,655,recording_2024-12-07_10-57.wav,655,5820,5920,background
210,654,recording_2024-12-04_15-05.wav,654,6662,6762,housedoor_bell
564,593,recording_2024-11-15_14-07-44.wav,444,2160,2260,background
456,14,2024-10-24-15-53.wav,13,38049,38149,housedoor_bell
348,3,background_2.wav,2,38284,38384,background
510,67,recording_2024-11-14_15-57-36.wav,67,2318,2418,housedoor_bell
335,39,recording_2024-11-02_15-50.wav,38,37114,37214,background
169,20,recording_2024-10-26_15-00.wav,19,10639,10739,gardendoor_bell
544,78,recording_2024-11-14_15-59-09.wav,78,4110,4210,background
472,71,recording_2024-11-14_15-58-14.wav,71,7110,7210,background
79,31,recording_2024-10-27_12-22.wav,30,6304,6404,gardendoor_bell
192,233,recording_2024-11-15_12-22-11.wav,332,6720,6820,background
620,17,recording_2024-10-25_15-59.wav,16,251910,252010,background
502,13,record-24-10-02-19-34.wav,12,33777,33877,housedoor_bell
334,39,recording_2024-11-02_15-50.wav,38,31971,32071,housedoor_bell
418,4,background_3.wav,3,98820,98920,background
340,44,recording_2024-11-08_11-29.wav,43,36461,36561,background
